Time(s),TPS_Percent_Value
5.36,-0.797527304
5.38,-0.785302951
5.4,-0.772764488
5.42,-0.759916929
5.44,-0.746765413
5.46,-0.733315201
5.48,-0.719571673
5.5,-0.705540326
5.52,-0.691226772
5.54,-0.676636736
5.56,-0.661776055
5.58,-0.646650672
5.6,-0.631266638
5.62,-0.615630105
5.64,-0.599747329
5.66,-0.583624661
5.68,-0.567268552
5.7,-0.550685543
5.72,-0.533882266
5.74,-0.516865444
5.76,-0.499641883
5.78,-0.482218472
5.8,-0.464602179
5.82,-0.446800052
5.84,-0.428819211
5.86,-0.410666848
5.88,-0.392350224
5.9,-0.373876665
5.92,-0.35525356
5.94,-0.336488358
5.96,-0.317588566
5.98,-0.298561742
6,-0.279415498
6.02,-0.260157491
6.04,-0.240795425
6.06,-0.221337044
6.08,-0.201790131
6.1,-0.182162504
6.12,-0.162462015
6.14,-0.142696544
6.16,-0.122873995
6.18,-0.103002299
6.2,-0.083089403
6.22,-0.063143272
6.24,-0.043171885
6.26,-0.02318323
6.28,-0.003185302
6.3,0.0168139
6.32,0.036806377
6.34,0.056784132
6.36,0.076739174
6.38,0.096663522
6.4,0.116549205
6.42,0.13638827
6.44,0.156172782
6.46,0.175894826
6.48,0.195546515
6.5,0.215119988
6.52,0.234607416
6.54,0.254001004
6.56,0.273292995
6.58,0.292475672
6.6,0.311541364
6.62,0.330482442
6.64,0.349291332
6.66,0.367960511
6.68,0.38648251
6.7,0.404849921
6.72,0.423055397
6.74,0.441091657
6.76,0.458951486
6.78,0.476627741
6.8,0.494113351
6.82,0.511401322
6.84,0.52848474
6.86,0.545356771
6.88,0.562010666
6.9,0.578439764
6.92,0.594637495
6.94,0.610597378
6.96,0.62631303
6.98,0.641778166
7,0.656986599
7.02,0.671932246
7.04,0.686609129
7.06,0.701011377
7.08,0.715133231
7.1,0.72896904
7.12,0.742513272
7.14,0.755760508
7.16,0.76870545
7.18,0.78134292
7.2,0.793667864
7.22,0.805675351
7.24,0.817360578
7.26,0.828718872
7.28,0.83974569
7.3,0.850436621
7.32,0.860787388
7.34,0.870793852
7.36,0.88045201
7.38,0.889757998
7.4,0.898708096
7.42,0.907298722
7.44,0.915526441
7.46,0.923387961
7.48,0.930880139
7.5,0.937999977
7.52,0.944744627
7.54,0.951111392
7.56,0.957097726
7.58,0.962701233
7.6,0.967919672
7.62,0.972750956
7.64,0.977193153
7.66,0.981244486
7.68,0.984903334
7.7,0.988168234
7.72,0.99103788
7.74,0.993511123
7.76,0.995586976
7.78,0.997264607
7.8,0.998543345
7.82,0.99942268
7.84,0.999902259
7.86,0.99998189
7.88,0.999661541
7.9,0.998941342
7.92,0.997821579
7.94,0.996302701
7.96,0.994385315
7.98,0.992070188
8,0.989358247
8.02,0.986250575
8.04,0.982748416
8.06,0.978853171
8.08,0.974566398
8.1,0.969889811
8.12,0.964825281
8.14,0.959374834
8.16,0.95354065
8.18,0.947325062
8.2,0.940730557
8.22,0.933759772
8.24,0.926415495
8.26,0.918700665
8.28,0.910618367
8.3,0.902171834
8.32,0.893364444
8.34,0.88419972
8.36,0.874681328
8.38,0.864813075
8.4,0.854598908
8.42,0.844042913
8.44,0.833149313
8.46,0.821922463
8.48,0.810366856
8.5,0.798487113
8.52,0.786287985
8.54,0.773774353
8.56,0.760951221
8.58,0.747823719
8.6,0.734397098
8.62,0.720676727
8.64,0.706668096
8.66,0.692376806
8.68,0.677808575
8.7,0.66296923
8.72,0.647864706
8.74,0.632501045
8.76,0.616884391
8.78,0.601020992
8.8,0.584917193
8.82,0.568579435
8.84,0.552014252
8.86,0.535228271
8.88,0.518228206
8.9,0.501020856
8.92,0.483613105
8.94,0.466011915
8.96,0.448224327
8.98,0.430257455
9,0.412118485
9.02,0.393814674
9.04,0.375353342
9.06,0.356741874
9.08,0.337987713
9.1,0.319098362
9.12,0.300081376
9.14,0.280944362
9.16,0.261694973
9.18,0.24234091
9.2,0.222889914
9.22,0.203349765
9.24,0.183728279
9.26,0.164033303
9.28,0.144272717
9.3,0.124454424
9.32,0.10458635
9.34,0.084676443
9.36,0.064732667
9.38,0.044762998
9.4,0.024775425
9.42,0.004777943
9.44,-0.015221451
9.46,-0.035214757
9.48,-0.055193977
9.5,-0.07515112
9.52,-0.095078204
9.54,-0.114967258
9.56,-0.134810327
9.58,-0.154599473
9.6,-0.174326781
9.62,-0.193984361
9.64,-0.21356435
9.66,-0.233058916
9.68,-0.252460262
9.7,-0.271760626
9.72,-0.290952291
9.74,-0.310027578
9.76,-0.328978858
9.78,-0.347798551
9.8,-0.366479129
9.82,-0.385013121
9.84,-0.403393112
9.86,-0.421611752
9.88,-0.439661752
9.9,-0.457535894
9.92,-0.475227027
9.94,-0.492728076
9.96,-0.51003204
9.98,-0.527131998
10,-0.544021111
