0,0
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,0
0.2,0
0.22,0
0.24,0
0.26,10
0.28,10
0.3,10
0.32,10
0.34,20
0.36,20
0.38,20
0.4,20
0.42,20
0.44,30
0.46,30
0.48,30
0.5,30
0.52,40
0.54,40
0.56,40
0.58,40
0.6,40
0.62,50
0.64,50
0.66,50
0.68,50
0.7,50
0.72,60
0.74,60
0.76,60
0.78,60
0.8,60
0.82,70
0.84,70
0.86,70
0.88,70
0.9,70
0.92,70
0.94,80
0.96,80
0.98,80
1,80
1.02,80
1.04,80
1.06,80
1.08,80
1.1,90
1.12,90
1.14,90
1.16,90
1.18,90
1.2,90
1.22,90
1.24,90
1.26,90
1.28,90
1.3,90
1.32,100
1.34,100
1.36,100
1.38,100
1.4,100
1.42,100
1.44,100
1.46,100
1.48,100
1.5,100
1.52,100
1.54,100
1.56,100
1.58,100
1.6,100
1.62,100
1.64,100
1.66,100
1.68,100
1.7,100
1.72,100
1.74,100
1.76,100
1.78,100
1.8,100
1.82,100
1.84,90
1.86,90
1.88,90
1.9,90
1.92,90
1.94,90
1.96,90
1.98,90
2,90
2.02,90
2.04,90
2.06,80
2.08,80
2.1,80
2.12,80
2.14,80
2.16,80
2.18,80
2.2,80
2.22,70
2.24,70
2.26,70
2.28,70
2.3,70
2.32,70
2.34,60
2.36,60
2.38,60
2.4,60
2.42,60
2.44,50
2.46,50
2.48,50
2.5,50
2.52,50
2.54,40
2.56,40
2.58,40
2.6,40
2.62,40
2.64,30
2.66,30
2.68,30
2.7,30
2.72,30
2.74,20
2.76,20
2.78,20
2.8,20
2.82,10
2.84,10
2.86,10
2.88,10
2.9,0
2.92,0
2.94,0
2.96,0
2.98,0
3,0
3.02,0
3.04,0
3.06,0
3.08,0
3.1,0
3.12,0
3.14,0
3.16,0
3.18,0
3.2,0
3.22,0
3.24,0
3.26,0
3.28,0
3.3,0
3.32,0
3.34,0
3.36,0
3.38,0
3.4,0
3.42,0
3.44,0
3.46,0
3.48,0
3.5,0
3.52,0
3.54,0
3.56,0
3.58,0
3.6,0
3.62,0
3.64,0
3.66,0
3.68,0
3.7,0
3.72,0
3.74,0
3.76,0
3.78,0
3.8,0
3.82,0
3.84,0
3.86,0
3.88,0
3.9,0
3.92,0
3.94,0
3.96,0
3.98,0
4,0
4.02,0
4.04,0
4.06,0
4.08,0
4.1,0
4.12,0
4.14,0
4.16,0
4.18,0
4.2,0
4.22,0
4.24,0
4.26,0
4.28,0
4.3,0
4.32,0
4.34,0
4.36,0
4.38,0
4.4,0
4.42,0
4.44,0
4.46,0
4.48,0
4.5,0
4.52,0
4.54,0
4.56,0
4.58,0
4.6,0
4.62,0
4.64,0
4.66,0
4.68,0
4.7,0
4.72,0
4.74,0
4.76,0
4.78,0
4.8,0
4.82,0
4.84,0
4.86,0
4.88,0
4.9,0
4.92,0
4.94,0
4.96,0
4.98,0
5,0
5.02,0
5.04,0
5.06,0
5.08,0
5.1,0
5.12,0
5.14,0
5.16,0
5.18,0
5.2,0
5.22,0
5.24,0
5.26,0
5.28,0
5.3,0
5.32,0
5.34,0
5.36,0
5.38,0
5.4,0
5.42,0
5.44,0
5.46,0
5.48,0
5.5,0
5.52,0
5.54,0
5.56,0
5.58,0
5.6,0
5.62,0
5.64,0
5.66,0
5.68,0
5.7,0
5.72,0
5.74,0
5.76,0
5.78,0
5.8,0
5.82,0
5.84,0
5.86,0
5.88,0
5.9,0
5.92,0
5.94,0
5.96,0
5.98,0
6,0
6.02,0
6.04,0
6.06,0
6.08,0
6.1,0
6.12,0
6.14,0
6.16,0
6.18,0
6.2,0
6.22,0
6.24,0
6.26,0
6.28,0
6.3,0
6.32,0
6.34,0
6.36,0
6.38,0
6.4,0
6.42,0
6.44,0
6.46,0
6.48,0
6.5,0
6.52,0
6.54,10
6.56,10
6.58,10
6.6,10
6.62,20
6.64,20
6.66,20
6.68,20
6.7,20
6.72,30
6.74,30
6.76,30
6.78,30
6.8,40
6.82,40
6.84,40
