Time(s),ThrCmd_Percent_Value_write
5.08,-0.366659403
5.1,-0.336705744
5.12,-0.307417333
5.14,-0.278805971
5.16,-0.250882983
5.18,-0.223659575
5.2,-0.197146654
5.22,-0.17135489
5.24,-0.146294534
5.26,-0.121975541
5.28,-0.098407745
5.3,-0.075600505
5.32,-0.053563058
5.34,-0.032304049
5.36,-0.011832118
5.38,0.007844627
5.4,0.026718318
5.42,0.044781268
5.44,0.062026501
5.46,0.078446925
5.48,0.094035923
5.5,0.108787417
5.52,0.122695506
5.54,0.135754526
5.56,0.147959292
5.58,0.159304947
5.6,0.16978696
5.62,0.17940107
5.64,0.188143492
5.66,0.196010739
5.68,0.202999622
5.7,0.209107339
5.72,0.214331508
5.74,0.218669981
5.76,0.22212106
5.78,0.224683315
5.8,0.226355746
5.82,0.227137715
5.84,0.227028877
5.86,0.226029292
5.88,0.224139333
5.9,0.221359774
5.92,0.21769172
5.94,0.213136673
5.96,0.207696408
5.98,0.201373145
6,0.194169343
6.02,0.186087981
6.04,0.177132204
6.06,0.167305648
6.08,0.156612217
6.1,0.145056203
6.12,0.13264221
6.14,0.119375214
6.16,0.105260521
6.18,0.090303794
6.2,0.074510992
6.22,0.057888437
6.24,0.04044278
6.26,0.022180999
6.28,0.003110399
6.3,-0.01676139
6.32,-0.037426427
6.34,-0.058876432
6.36,-0.081102848
6.38,-0.104096755
6.4,-0.127848983
6.42,-0.152350008
6.44,-0.177590057
6.46,-0.203559011
6.48,-0.230246484
6.5,-0.257641822
6.52,-0.285734057
6.54,-0.314511925
6.56,-0.343963981
6.58,-0.374078363
6.6,-0.404843062
6.62,-0.436245829
6.64,-0.468273997
6.66,-0.500914812
6.68,-0.53415525
6.7,-0.567981958
6.72,-0.602381468
6.74,-0.63733995
6.76,-0.672843397
6.78,-0.708877683
6.8,-0.745428443
6.82,-0.782480955
6.84,-0.820020437
6.86,-0.858031809
6.88,-0.896499991
6.9,-0.935409546
6.92,-0.974744856
6.94,-1.014490247
6.96,-1.054629803
6.98,-1.095147371
7,-1.136026978
7.02,-1.177252054
7.04,-1.218806267
7.06,-1.260672808
7.08,-1.302835226
7.1,-1.345276356
7.12,-1.387979388
7.14,-1.430927038
7.16,-1.474102497
7.18,-1.517488122
7.2,-1.561066747
7.22,-1.604820967
7.24,-1.648733139
7.26,-1.692785978
7.28,-1.736961484
7.3,-1.781242251
7.32,-1.825610399
7.34,-1.870048523
7.36,-1.914538383
7.38,-1.959062457
7.4,-2.003602982
7.42,-2.048141718
7.44,-2.092661381
7.46,-2.137144089
7.48,-2.181571722
7.5,-2.225926876
7.52,-2.270191669
7.54,-2.314348221
7.56,-2.358378887
7.58,-2.402266502
7.6,-2.445992947
7.62,-2.489541054
7.64,-2.532893181
7.66,-2.5760324
7.68,-2.61894083
7.7,-2.66160202
7.72,-2.703998327
7.74,-2.746113062
7.76,-2.787929535
7.78,-2.82943058
7.8,-2.870599747
7.82,-2.911420822
7.84,-2.951877594
7.86,-2.991953135
7.88,-3.031631947
7.9,-3.070898294
7.92,-3.109736204
7.94,-3.148130417
7.96,-3.186064959
7.98,-3.223525286
8,-3.26049614
8.02,-3.296962976
8.04,-3.332910538
8.06,-3.368325472
8.08,-3.403192759
8.1,-3.437498808
8.12,-3.471229553
8.14,-3.504372358
8.16,-3.536912918
8.18,-3.568839073
8.2,-3.600137711
8.22,-3.630795956
8.24,-3.660802126
8.26,-3.690144062
8.28,-3.718809605
8.3,-3.746787786
8.32,-3.774067163
8.34,-3.800637245
8.36,-3.826486588
8.38,-3.851605654
8.4,-3.875984192
8.42,-3.89961195
8.44,-3.922480106
8.46,-3.944579363
8.48,-3.96590066
8.5,-3.986435652
8.52,-4.006175995
8.54,-4.025113583
8.56,-4.043241501
8.58,-4.06055212
8.6,-4.077038288
8.62,-4.092693806
8.64,-4.107511997
8.66,-4.121487617
8.68,-4.134614468
8.7,-4.146887302
8.72,-4.15830183
8.74,-4.168852806
8.76,-4.178535938
8.78,-4.187347889
8.8,-4.19528532
8.82,-4.202343941
8.84,-4.20852232
8.86,-4.213816643
8.88,-4.218225956
8.9,-4.221747398
8.92,-4.224380493
8.94,-4.22612381
8.96,-4.226976871
8.98,-4.226939201
9,-4.226010323
9.02,-4.224191189
9.04,-4.221482277
9.06,-4.217885017
9.08,-4.213400841
9.1,-4.208030701
9.12,-4.201777935
9.14,-4.194643974
9.16,-4.186632633
9.18,-4.177746296
9.2,-4.167988777
9.22,-4.157364368
9.24,-4.145876884
9.26,-4.133530617
9.28,-4.120331287
9.3,-4.106284142
9.32,-4.091393948
9.34,-4.075667858
9.36,-4.059111118
